CO,O3,SO2,HCHO,NO2,CO_N,NO2_N,SO2_N,O3_N,AQI,Category,Hotspot
0.0378133000771708,0.1121823480599961,4.435659338729485e-05,7.805059826431138e-05,9.102621440353634e-06,0.6611108058286631,0.039481937844593,0.02084691725165485,0.6972408536575904,178.0,Moderate,Normal
0.0466923334705395,0.1297990530328702,0.0002853075614188116,0.0001867716817513106,3.45939487634635e-05,0.8163478496648219,0.15004865838131995,0.13409016946448002,0.8067330030584172,239.0,Poor,Normal
0.0414883192748727,0.1109396814550477,0.0001998878011920394,0.00014088319882349636,2.294391308931613e-05,0.7253631958149933,0.09951750234149366,0.093944194827623,0.6895173754149828,201.0,Poor,Normal
0.0415257717191548,0.1155329458311434,0.0002698325884807937,0.00013618699178734572,2.510050964596438e-05,0.7260179975796915,0.10887157817155935,0.12681716999191767,0.71806564196536,210.0,Poor,Normal
0.0425112021283234,0.1220860020032268,0.0003971675884776209,7.195326543781988e-05,2.676740199847992e-05,0.7432468215798174,0.11610159874166548,0.18666266319730151,0.7587944960008096,224.0,Poor,Normal
0.0369852517769027,0.109106543584671,2.4710068776797915e-05,6.240770192675087e-05,9.643720731246535e-06,0.646633580145158,0.04182891543898991,0.011613352598447197,0.678123973193361,173.0,Moderate,Normal
0.0154900013922756,0.1307078789499857,0.00013337816847690563,4.676328313093115e-05,7.391403683921336e-06,0.27082024795072157,0.03205965915919058,0.06268568952393361,0.8123815794096348,146.0,Moderate,Normal
0.0480926620612697,0.1299624081295703,0.0005179471337842903,0.00024033465568164852,3.1318834452332225e-05,0.84083056768079,0.13584309567464997,0.24342719343784605,0.8077482951167684,251.0,Poor,Hotspot
0.0307177728684273,0.1291499585969901,0.00017739318019521655,9.02721001724829e-05,1.2671369090045434e-05,0.5370557854739679,0.05496111313617747,0.08337206864034857,0.8026987216727629,184.0,Moderate,Normal
0.0469031307033829,0.1303871608487296,0.0004299376000407247,0.0002073874735520406,2.466460856422337e-05,0.8200333340892741,0.10698088991999773,0.2020640650458816,0.8103882376177188,240.0,Poor,Normal
0.0490383997056341,0.1281020240879326,0.00021554503624439985,0.000195496176946949,3.3240016947257325e-05,0.8573654211554205,0.14417608066691678,0.10130285469305264,0.7961855512470402,238.0,Poor,Normal
0.0485871466463434,0.1265337602829714,0.00010576263196283952,0.00017675803883927048,6.759381534159794e-05,0.8494759147370046,0.2931831048322918,0.04970681173811861,0.7864384064150683,253.0,Poor,Normal
0.0418960503472538,0.1148637384947713,0.00011004340582875304,0.00020971477363762215,3.0157036069650836e-05,0.732491783303341,0.13080388231907475,0.051718709671229664,0.7139063539618993,206.0,Poor,Normal
0.0388109126666129,0.1083787791209615,1.310878969307552e-05,0.0001346408965160008,9.40725303688458e-06,0.6785526176135348,0.04080325454863762,0.0061609297092496485,0.6736007382574414,176.0,Moderate,Normal
0.0407373809506944,0.1135128852475305,0.00018935902174545312,0.00014193881643067153,3.471035968760377e-05,0.7122341264237485,0.1505535820345175,0.08899583028647277,0.7055104691586273,209.0,Poor,Normal
0.0454776454249079,0.1250107008140554,0.00010936345126236756,9.521807249389643e-05,4.140713833176197e-05,0.7951107878098906,0.1796003571772812,0.05139914147408351,0.7769722176372197,229.0,Poor,Normal
0.0422328339023668,0.1102571621469029,8.455841947874774e-05,0.00015064848766298006,1.32587408338402e-05,0.7383799561699302,0.05750879402482423,0.039741157721753524,0.6852753502365282,191.0,Moderate,Normal
0.0445930155339834,0.1354507147966676,0.0005753144279151411,0.0001840321139799388,3.165253864207068e-05,0.779644314932473,0.13729051257142713,0.2703889400998371,0.8418594693957647,250.0,Poor,Normal
0.0451214973691258,0.1109360824171803,0.0001880632784976481,8.91425909036656e-05,1.2751802450763524e-05,0.7888840546849878,0.055309986806175986,0.08838685087205907,0.6894950065104412,202.0,Poor,Normal
0.0373596291463202,0.1089925022846657,0.00010236822970753725,6.551432880592705e-05,8.633116677225448e-06,0.653179026426612,0.03744549614512942,0.04811149484087046,0.6774151784966642,177.0,Moderate,Normal
